"control_number","session_number","session_type","abstract_title","author_block","abstract_body","abstract_type","abstract_scientific_area","abstract_clinical_area"
"ASC20161024","01.01","QuickShot","Mimetic sHDL Nanoparticles: a Novel Drug-Delivery Strategy to Target Triple-Negative Breast Cancer","P. T. White<sup>1</sup>, C. Subramanian<sup>1</sup>, R. Kuai<sup>2</sup>, J. Moon<sup>2,5</sup>, B. M. Timmermann<sup>3</sup>, A. Schwendeman<sup>2</sup>, M. S. Cohen<sup>1,4</sup>  <sup>5</sup>University Of Michigan,Department Of Biomedical Engineering,Ann Arbor, MI, USA <sup>1</sup>University Of Michigan,Department Of Surgery,Ann Arbor, MI, USA <sup>2</sup>University Of Michigan,College Of Pharmacy,Ann Arbor, MI, USA <sup>3</sup>University Of Kansas,Department Of Medicinal Chemistry,Lawrence, KS, USA <sup>4</sup>University Of Michigan,Department Of Pharmacology,Ann Arbor, MI, USA","<strong>Introduction</strong>:  Triple negative breast cancer (TNBC) remains a therapeutic challenge today, highlighting the critical need for discovery and development of safer novel therapies. Withanolides are a unique class of naturally-derived Hsp90 inhibitors that are highly efficacious in preclinical TNBC models, but fairly hydrophobic in vivo. Synthetic high-density lipoprotein (sHDL) nanoparticles have been safely used in clinical cardiology trials and recently shown by our group to conjugate to withanolides to improve drug delivery, solubility, and efficacy in aggressive adrenal cancers in vivo. sHDL provides targeted drug delivery as a ligand to the SR-B1 surface receptor leading to cholesterol uptake and efflux. TNBCs highly overexpress SR-B1 and we hypothesize that combining withanolides with sHDL will enhance their delivery to TNBCs through improved targeting via SR-B1.<br><br><strong>Methods</strong>:  Validated human TNBC cell lines (MD-MBA468LN,MDA-MB231,SUM159) were evaluated for SR-B1 mRNA expression levels by qPCR, and protein levels confirmed by Western blot. Fluorescent labeled sHDL was used to evaluate SR-B1 mediated drug uptake in vitro under fluorescence microscopy, and used for tumor targeting in vivo with whole body IVIS spectrum imaging of mouse xenograft tumors (MD-MBA468LN). Withanolide (WGA-TA) IC<sub>50</sub> values were obtained using 72 h CellTiter-Glo (CTG) assays.<br><br><strong>Results</strong>: All TNBC cell lines had significantly (p&lt;0.01) higher SRB1 expression by qPCR and Western blot compared to fibroblast or Jurkat cells (SUM159 4-5 fold, MDA-MB468LN 8-10 fold, MDA-MB231 2-4 fold). Fluorescent labeled sHDL uptake in vitro demonstrated cytosolic uptake of nanoparticles at significantly (p&lt;0.05) higher levels within the high SR-B1 expressing cell line (MDA-MB468LN) compared to the lower SR-B1 expressing cell line (MDA-MB231). Fluorescent sHDL uptake was almost completely inhibited by receptor saturation through pre-treatment with 10-fold excess sHDL (p&lt;0.05). In vivo tumor uptake of fluorescent labeled sHDL using IVIS spectrum imaging in the MDA-MB469LN mouse xenograft model demonstrated highest radiant efficiency in the tumor, with uptake in the liver where it is metabolized and significantly (p&lt;0.05) lower radiant efficiency in other organs. Using CTG assays, treatment with sHDL up to 20 &mu;M showed no changes to cell viability. In TNBC, IC<sub>50</sub> values of WGA-TA vs. sHDL-WGA-TA were not statistically different with IC<sub>50</sub> concentrations ranging from 18-125 nM. Both formulations had significantly lower IC<sub>50</sub> values when compared to MCR5 control cells (6-41 fold lower; p&lt;0.05).<br><br><strong>Conclusion</strong>: Conjugation of WGA-TA with sHDL nanoparticles confers improved SR-B1 receptor-mediated targeting both in vitro and in vivo in TNBC without inhibiting the potency of withanolides in these tumor cells. This nanocarrier delivery system warrants further translational evaluation in vivo in patient-derived xenograft of TNBC to determine if improved targeting will confer enhanced treatment benefit and survival.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20160315","01.02","QuickShot","Novel Nano-Liposomes for Multi-Modal Image-Guided Lung Cancer Surgery","P. Patel<sup>1</sup>, T. Kato<sup>1</sup>, H. Ujiie<sup>1</sup>, D. Lee<sup>1</sup>, J. Ahn<sup>1</sup>, H. Hu<sup>1</sup>, J. Zheng<sup>2,3</sup>, K. Yasufuku<sup>1,2,3</sup>  <sup>1</sup>University of Toronto,Division Of Thoracic Surgery,Toronto, Ontario, Canada <sup>2</sup>University Health Network,TECHNA Institute,Toronto, Ontario, Canada <sup>3</sup>University of Toronto,Institute Of Biomaterials & Biomedical Engineering,Toronto, Ontario, Canada","<strong>Introduction</strong>: To investigate the feasibility of CF800, a novel PEGylated nano-liposomal imaging agent containing indocyanine green (ICG) and iohexol, for real-time near infrared (NIR) fluorescence and computed tomography (CT) image-guided surgery in an orthotopic lung cancer model in nude mice.<br><br><strong>Methods</strong>: CF800 was intravenously administered into 13 mice bearing the H460 orthotopic human non-small cell lung cancer. At 48 h post-injection (peak liposome accumulation time), ex vivo NIR and CT imaging was performed. A clinical NIR imaging system (SPY&reg;, Novadaq) was used to measure the fluorescence intensity of tumor and adjacent lung tissue. Tumor-to-background-ratios (TBR) were calculated in inflated and deflated states. The mean Hounsfield unit (HU) of lung tumor was quantified using the CT data set and a semi-automated threshold-based method. Histological evaluation was performed using Hematoxylin &amp; Eosin, and immunofluorescence macrophage marker F4/80 and endothelial cell marker CD31,  and compared to the liposomal fluorescence signal obtained from adjacent tissue sections.<br><br><strong>Results</strong>:The fluorescence TBR measured when the lung is in the inflated state (2.0 &plusmn; 0.58) was significantly greater than in the deflated state (1.42 &plusmn; 0.38) (p&lt;0.05). Mean fluorescence signal in tumor was highly variable across samples, (49.0 &plusmn; 18.8 AU). CT image analysis revealed greater contrast enhancement in lung tumors (a mean increase of 110 &plusmn; 57 HU) when CF800 is administered compared to the non-contrast enhanced tumors (p &lt;0.05).<br><br><strong>Conclusion</strong>:This preliminary data suggests that the high fluorescence TBR demonstrated with the SPY system, and CT tumor contrast enhancement provided by CF800 may have clinical utility in aiding delineation and localization of lung cancer during CT and NIR image-guided surgery.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20160574","01.03","QuickShot","Tumor-Targeting Nanotheranostic Micelles for Neuroendocrine Cancer Therapy","R. Jaskula Sztul<sup>1,3</sup>, G. Chen<sup>2</sup>, A. Harrison<sup>1</sup>, S. Gong<sup>2</sup>, H. Chen<sup>1,3</sup>  <sup>1</sup>University Of Wisconsin,Surgery,Madison, WI, USA <sup>2</sup>University Of Wisconsin,Wisconsin Institutes For Discovery,Madison, WI, USA <sup>3</sup>University Of Alabama,Surgery,Birmingham, Alabama, USA","<strong>Introduction</strong>:  Although neuroendocrine tumors (NETs) are slow growing, they are frequently metastatic at the time of their discovery and no longer amenable to curative surgery. Therefore, there is a great need to develop novel therapeutic strategies both to reduce tumor burden and control the release of hormones. To address this need, we developed and optimized a family of novel multifunctional upconversion nanoparticle (UCNP)-based theranostic unimolecular micelles capable of delivering a newly reported anticancer drug AB3 for NET-targeted combination chemotherapy, photodynamic therapy (PDT), and bioimaging. These UCNP-based micelles conjugated with photosensitizer (Rose Bengal, RB) specifically target NET cells  using somatostatin analog (KE108). In the current study we assessed the antitumor effects of the nanotheranostic micelles both in vitro and in vivo.<br><br><strong>Methods</strong>:  Stable UCNP-based micelles were prepared in an aqueous solution using multi-arm star amphiphilic block copolymer.  KE108 was conjugated for active tumor-targeting. AB3 was loaded into the photosensitive hydrophobic core of the resulting micelles. The effect of 980nm on singlet oxygen generation and in vitro drug release of the UCNP-based micelles were studied.  Cell proliferation was assessed by MTT assay in human medullary thyroid cancer cell line (MZ-CRC-1) treated with a family of AB3-loaded micelles (AB3 mM) for 48h with or without 980nm irradiation. The effect of the KE108 targeting ligands on the cellular uptake of the nanotheranostic micelles was measured by flow cytometry and confocal laser scanning microscope (CLSM). The antitumor efficacy of AB3-loaded micelles was determined in GI neuroendocrine (BON) xenografts after two intravenous injections performed with 7 day interval with a dose of 20 mg/kgBW. The group treated with UCNP-based micelles containing RB was irradiated for 15 min with 980nm laser at 4h post injection.<br><br><strong>Results</strong>: The family of UCNP-based NET-targeting unimolecular micelles was developed for targeted delivery of AB3 and RB to NETs. UCNP-based micelles for targeted and combined chemotherapy with PDT exhibited the strongest antiproliferative effect. Moreover, the targeted micelles exhibited a much higher cellular uptake than non-targeted micelles based on flow cytometry and CLSM analyses. Additionally, AB3 loaded micelles conjugated with RB and KE108 (i.e., T-RB-AB3), enabling combined chemo-therapy and PDT, induced the best antitumor efficacy (82% reduction in tumor volume) and did not cause any significant changes in body weight or survival. Pathological assessment of H&amp;E-stained sections of different organs of mice treated with T-RB-AB3 micelles did not indicate any signs of inflammation or necrotic regions.<br><br><strong>Conclusion</strong>:The AB3-loaded UCNP-based micelles conjugated with both RB and KE108, offering combination chemotherapy and PDT, are more effective at suppressing NET cell growth while having minimal toxicity to non-NET cells.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20160105","01.04","QuickShot","SDF-1&alpha; Decreases Inflammation in Diabetic Dermal Fibroblasts by Upregulating miR-146a Expression","M. M. Hodges<sup>1</sup>, C. Zgheib<sup>1</sup>, J. Hu<sup>1</sup>, J. Xu<sup>1</sup>, K. W. Liechty<sup>1</sup>  <sup>1</sup>University Of Colorado Denver,Laboratory For Fetal And Regenerative Biology, Department Of Surgery,Aurora, CO, USA","<strong>Introduction</strong>:  In 2014, the United States Center for Disease Control and Prevention (CDC) estimated that 29.1 million Americans (9.3% of Americans) were living with diabetes, with the economic burden of diabetes related wound care estimated as $38.6 billion in 2007.  With the global prevalence of diabetes expected to double between 2000 and 2030, there will be an increasing need for innovative technologies to address the commensurate rise in chronic wounds.  We have previously demonstrated that diabetic wounds exhibit markedly decreased levels of the anti-inflammatory microRNA miR-146a.  Furthermore, we have shown improved healing of diabetic wounds after treatment with a lentiviral construct expressing stromal derived growth factor (SDF-1&alpha;). We hypothesize that the improved healing observed in diabetic wounds after SDF-1&alpha; treatment is partly due to increased miR-146a expression and the subsequent decrease in inflammation.<br><br><strong>Methods</strong>:   To test our hypothesis we isolated dermal fibroblasts from the skin of 10 week old diabetic (Db/Db) and non-diabetic (Db/+) mice.  These fibroblasts were then cultured and transfected with a lentivirus expressing either SDF-1&alpha; or green fluorescent protein (GFP) as a control.  RNA was extracted from these fibroblasts, and real time PCR analysis was utilized to quantify the gene expression of NFkB, TRAF6, IRAK1, IL-6, MIP2 (IL-8), and miR-146a.<br><br><strong>Results</strong>:  When compared to fibroblasts from the skin of non-diabetic mice, fibroblasts isolated from the skin of diabetic mice demonstrated significantly decreased levels of miR-146a and increased levels of NFkB, TRAF6, IRAK1, IL-6, and MIP2 (IL-8).  When transfected with a lentivirus expressing SDF-1&alpha;, fibroblasts from the skin of diabetic mice demonstrated significantly increased expression of miR-146a, and significantly decreased expression of NFkB, TRAF6, IRAK1, IL-6, and MIP2 (IL-8).<br><br><strong>Conclusions</strong>:  The significantly increased expression of inflammatory mediators NFkB, TRAF6, IRAK1, IL-6, and MIP2 (IL-8) observed in diabetic fibroblasts is nearly reversed with lenti-SDF-1&alpha; transfection.  Similarly, the decreased level of miR-146a observed in diabetic fibroblasts is completely reversed when diabetic fibroblasts are transfected with lenti-SDF-1&alpha;. The accelerated wound healing previously observed in diabetic skin after lenti-SDF-1&alpha; treatment may be due in part to the increased expression of miR-146a and decreased expression of inflammatory mediators NFkB, TRAF6, IRAK1, IL-6, and MIP2 (IL-8).  These results support further investigation of the role of SDF-1&alpha; in the pathogenesis of diabetic wound healing impairment and as a possible therapeutic target in the treatment of diabetic wounds.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20161100","01.05","QuickShot","Mechanistic Analysis: Alcohol Induces Apoptosis and Autophagy in the Liver of Hypercholesterolemic Swine","I. J. Lawandy<sup>1</sup>, B. A. Potz<sup>1</sup>, N. Y. Elmadhun<sup>1</sup>, A. D. Lassaletta<sup>1</sup>, J. A. Feng<sup>1</sup>, F. W. Sellke<sup>1</sup>  <sup>1</sup>Brown University,Surgery/Cardiothoracic Surgery/ Warren Alpert Medical School,Providence, RHODE ISLAND, USA","<strong>Introduction</strong>:  Autophagy serves as a cellular protective mechanism against alcohol induced tissue injury but can also be detrimental leading to apoptosis.  Our lab has previously shown moderate alcohol consumption in a swine model of metabolic syndrome worsens glucose metabolism by altering activation of the insulin signaling pathway in the liver. We examined the effect of alcohol consumption on apoptosis and autophagy signaling in the liver in our clinically relevant animal model of chronic myocardial ischemia and hypercholesterolemia.  <br><br><strong>Methods</strong>:  Twenty-six Yorkshire swine were fed a hypercaloric, high-fat diet for 4 weeks then split into 3 groups: hypercholesterolemic diet alone (HCC, n= 9), hypercholesterolemic diet with vodka (HCV, n= 9), and hypercholesterolemic diet with wine (HCW,n = 8) for 7 weeks. Animals underwent euthanasia and liver tissue samples were harvested for analysis. <br><br><strong>Results</strong>:   There were significant increases in the pro-apoptotic proteins caspase 3, caspase 8, caspase 9 and cleaved caspase 9 in the HCV group and a trend increase in the HCW group compared to control. There was a significant decrease in pro-apoptotic protein Bad in the HCW and HCV groups compared to control.  There was a significant increase in anti-apoptoic signal BCL-2 in the HCW group compared to the HCV group and trend increase in the HCW group compared to  control.   There were significant increases in pro-survival proteins AKT and p-AKT in the HCW and the HCV group compared to control.   There was significant increase in MTOR in HCW compared to HCV and a trend increase in compared to control. There was a significant increase in p-MTOR in the HCV group compared to the control.  There was a significant decrease in autophagy protein LCB-3 in the HCW and a trend decrease in HCV compared to the control. (See table)There was a trend increase in anti-apoptotic signal  p-BCL-2 in the HCW and HCV groups (p=0.151) compared to control. There were trend increases in the HCV group in AMPKA (p= 0.071) and TNF-alpha (p=0.071) compared to control. There was a trend increase pro- autophagy protein Beclin 1 in the HCW group (p=0.431) compared to control.  There were  trend increases in pro-autophagy proteins Lamp-1 and Lamp-2 in the HCW group and a trend decrease in the HCV group (p=0.120) compared to control.  There were no significant differences in cleaved Caspase 3 (p=0.296), Bax (p= 0.169), p-Bad (p =0.675), LKB-1 (p=0.523), P-AMPKA (p=0.758) or ATG5 (p=0.319) compared to the control.<br><br><strong>Conclusions</strong>: Moderate Alcohol consumption altered cell survival protein expression related to apoptosis and autophage in pig liver in the setting of hypercholesterolemia.  Vodka may induce more pro apoptotic pathways and wine may induce more pro survival pathways in pig liver tissue.","Basic Science","Disease Pathogenesis","General Surgery"
"ASC20160438","01.06","QuickShot","A Large Animal Model of Liver Injury Induced by Retrorsine and Partial Hepatectomy","K. Inomata<sup>1</sup>, H. Yagi<sup>1</sup>, K. Tajima<sup>1</sup>, H. Shimoda<sup>1</sup>, T. Hibi<sup>1</sup>, Y. Abe<sup>1</sup>, M. Kitago<sup>1</sup>, M. Shinoda<sup>1</sup>, O. Itano<sup>1</sup>, Y. Kitagawa<sup>1</sup>  <sup>1</sup>Keio Universiry,Surgery,Shinanomachi, Shinjukuku, TOKYO, Japan","<strong>Introduction</strong>:  Recently, regenerative medicine approaches have been made great advantage, therefore evaluation of its feasibility in animal model is absolutely necessary for clinical application. However, pre-clinical model for the study of liver regeneration is yet to be established. Regeneration process of the liver requires continuous regenerative signals induced by hepatic injury, on the other hand, transplanted cells require functional advantage compared to the remnant cells to repopulate efficiently in recipient's body. One of the sufficient models for these demands is clearly retrorsine with partial heaptectomy (PH) model. However, no study has been reported using large animal including porcine. Here we demonstrate the first established porcine model with retrorsine and PH.<br><br><strong>Methods</strong>:  G&ouml;ttingen miniature pigs were treated with 2 intra-peritoneal administrations of retrorsine in different doses; 30mg, 50mg and 100mg/kg respectively, or saline as a control, 2 weeks apart. Four weeks after the second administration of retrorsine, animals underwent PH in different volumes; 50%, 60% and 85%. The animals were sacrificed on 10, 14 and 28 days after the PH and the resected liver volume and histological alterations were evaluated. Blood samples were obtained every 7 days until and every 3 days after the PH to analyze hepatobilially enzymes and synthesized proteins. The quantity of serum and liver tissue retrorsine concentration was determined by LC-MS/MS.  Hematoxylin and eosin staining and immunohistochemical staining for Ki-67 and EpCAM were performed on the liver tissue.<br><br><strong>Results</strong>: The Animals injected 100 mg/kg retrorsine or performed 85% PH were resulted in dead with severe liver injury. Blood test demonstrate that distinct liver disorder was sustained after PH. Liver regeneration was inhibited in animals as 20% volume reduction at day 10 of 60% PH animals with pre-surgical administration of 50mg/kg retrorsine. The histological study demonstrated the explosive puff and cytoplasmic vacuoles were remained in retrorsine treated animals at day 10. The immunohistochemical staining showed the expression of Ki-67 in hepatocytes and EpCAM in biliary epithelium were suppressed in retrorsine treated animals. LC-MS/MS determined the quantity of accumulated retrorsine in the liver tissue while retrorsine was not detected in the blood.<br><br><strong>Conclusion</strong>: We could successfully demonstrate the first large animal model of retrorsine and 60% PH characterized by sustained liver injury with suppression of hepatic regeneration. We believe that it is a promising model for improving preclinical study of liver regenerative medicine.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20161265","01.07","QuickShot","Establishment of a Novel Murine Model of Obstructive Jaundice","H. Aoki<sup>1,2</sup>, M. Aoki<sup>1,2</sup>, E. Katsuta<sup>1,2</sup>, J. Yong<sup>3</sup>, X. Wang<sup>3</sup>, H. Zhou<sup>3</sup>, S. Spiegel<sup>2</sup>, K. Takabe<sup>1,2</sup>  <sup>1</sup>Virginia Commonwealth University,Division Of Surgical Oncology, Department Of Surgery,Richmond, VA, USA <sup>2</sup>Virginia Commonwealth University,Department Of Biochemistry & Molecular Biology,Richmond, VA, USA <sup>3</sup>Virginia Commonwealth University,Department Of Microbiology And Immunology,Richmond, VA, USA","<strong>Introduction</strong>:  Obstructive jaundice is one of the classic signs of pancreatic head mass, or tumor in the biliary tree. Although there are numerous publications on clinical management of obstructive jaundice, there are very few reports regarding the effects of it on cancer biology itself partly due to lack of stable model. The standard murine model for cholestasis is the partial ligation of the common bile duct (pBDL), which is known to have very short survival, usually less than 3-4 days. Recently, a long term survival cholestasis model that totally ligate hepatic bile duct (tHBDL) was reported. Here we compared tHBDL model with standard pBDL model on their characteristics.<br><br><strong>Methods</strong>:  C57Black6 mice were subjected to sham, pBDL and tHBDL operations. For the tHBDL model, total ligation of the hepatic bile duct was performed at the level where left and median lobe bile ducts, as well as the duct from upper right lobe were completely obstructed, whereas right lower lobe bile duct was spared. Of note, cholecystectomy was added to all tHBDL model. For pBDL model, the suture was tied down tightly at the common bile duct with surgical needle placed by the side, and then the needle was removed leaving a defined lumen within the ligation. Survival was determined by humane endpoints and assessed by Kaplan-Meier method. Weights of body, liver and spleen were measured on the indicated days. Intraoperative complications were also recorded.<br><br><strong>Results</strong>: 24 mice that received pBDL mice died between 3-4 days after operation. On the other hand, mice that underwent tHBDL were observed to survive over 14 days, longest survivor was over 2 months. After 2 days, pBDL model showed the significant body weight loss compared with sham and tHBDL. An increase of liver weight was observed in both pBDL and tHBDL groups, where it was much heavier in tHBDL group than pBDL group. Spleen of tHBDL model was heavier than other groups, on the other hand, weight of spleen in pBDL group was lighter than sham surgery group. In tHBDL model, enlargement of right lobe was observed. Most common complication during the procedure was bleeding from portal vein or liver and technique for tHBDL model was stabilized due to good exposure of procedure field with assistance.    <br><br><strong>Conclusion</strong>: Total hepatic bile duct ligation model was clearly more stable model than standard partial bile duct ligation model, which is most commonly used. Given the longer survival, total hepatic bile duct ligation model provide us tool to investigate the biological impact of obstructive jaundice.","Basic Science","Disease Pathogenesis","General Surgery"
"ASC20160158","01.08","QuickShot","Potential of Liver Organoids as Implantation Therapy for Liver Insufficiency","V. X. Zhou<sup>1</sup>, M. Lolas<sup>1</sup>, T. T. Chang<sup>1</sup>  <sup>1</sup>University Of California - San Francisco,Surgery,San Francisco, CA, USA","<strong>Introduction</strong>:   Liver transplantation is currently the only treatment for end-stage liver disease (ESLD) and is limited by the critical shortage of donor organs.  Implantation of liver organoids generated ex vivo by three-dimensional (3D) culture techniques may serve as an adjunct or alternative to liver transplantation.  Efficient high-engraftment methods of introducing organoids into the liver parenchyma have not been established.  In this study, we aim to develop a reliable surgical technique to implant liver organoids into the liver and assess their ability to engraft and function.<br><br><strong>Methods</strong>:   Liver organoids composed of either hepatocytes alone or hepatocytes co-cultured with stellate cells were generated by 3D culture in rotating wall vessel bioreactors.  Primary hepatocytes and stellate cells were isolated from ROSA26 C57BL/6 mice, in which &beta;-galactosidase was expressed under a ubiquitous promoter, so that engrafted cells could be easily identified by X-gal staining when implanted into wild-type mice.  Some recipient mice underwent simultaneous two-thirds partial hepatectomy to determine whether hepatocytes within implanted organoids proliferated in response to acute liver insufficiency. As control, freshly isolated primary hepatocytes were transplanted as single-cell suspensions.  At various time-points after implantation, engraftment of liver organoids was qualitatively and quantitatively determined. <br><br><strong>Results</strong>:  Confocal microscopy analysis demonstrated that hepatocytes within liver organoids had cortical actin organization and produced extracellular matrix.  Organoids maintained their 3D structure up to 7 days after implantation within recipient livers and engraftment efficiency was superior to that of single cells.  Generating liver organoids with stellate cell co-culture and performing two-thirds partial hepatectomy on recipient mice did not appear to improve engraftment efficiency.<br><br><strong>Conclusion</strong>:  Implantation of liver organoids generated by 3D tissue culture is promising for development as a novel surgical therapy for ESLD.  Further optimization of 3D culture and implantation techniques are required to increase engraftment efficiency.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20160117","01.09","QuickShot","Inhibition of ECM Protein Expression in Hepatic Stellate Cells by JHC0123, an Inhibitor of STAT3","F. J. Bohanon<sup>1</sup>, X. Wang<sup>1</sup>, O. A. Nunez Lopez<sup>1</sup>, A. Kandathiparampil<sup>1</sup>, N. Ye<sup>1</sup>, S. J. Vasudevan<sup>1</sup>, H. Chen<sup>1</sup>, J. Zhou<sup>1</sup>, R. S. Radhakrishnan<sup>1</sup>  <sup>1</sup>University Of Texas Medical Branch,Galveston, TX, USA","<strong>Introduction</strong>:  STAT3 plays an important role in many physiologic and pathologic processes by regulating cell proliferation, differentiation, and metabolism. It has been reported that the STAT3 pathway is involved in hepatic fibrogenesis. Activated hepatic stellate cells (HSC) are the major effector cells for liver fibrosis, and HSC activation is characterized by increased proliferation and over-expression of &alpha;-smooth muscle actin, and extracellular matrix (ECM) proteins. Recently, our team developed a series of novel small-molecule inhibitors of STAT3 and demonstrated their potent anti-tumor effects in breast cancer cells. In the present study, we tested their anti-fibrogenic effects using activated HSC.<br><br><strong>Methods</strong>: The proliferation of activated human and rat HSC cell lines LX-2 and HSC-T6 were measured by Alamar Blue. Cellular proteins were determined by Western blots and immunofluorescence. Flow cytometry was conducted for cell cycle study. Yo-pro-1 staining was used for apoptosis. <br><br><strong>Results</strong>:HJC0123 treatment significantly inhibited LX-2 and HSC-T6 cell growth and attenuated HSC activation marker &alpha;-smooth muscle actin expression. The expression of endogenous ECM collagen type I and fibronectin was suppressed by HJC0123 in a dose- and time-dependent manner. TGF&beta; has been identified as the most potent stimulator for ECM. Our data show that in LX-2 cells, TGF&beta; significantly up-regulated collagen type I and fibronectin expression, and pretreatment with HJC0123 prevented TGF&beta;-stimulated ECM production. Furthermore, pretreatment with HJC0123 impaired TGF&beta;-induced pSmad2/3 expression and nuclear translocation, indicating that the TGF&beta;/pSmad pathway plays a role in ECM regulation by HJC0123. <br><br><strong>Conclusion</strong>:HJC0123 inhibits HSC proliferation, suppresses endogenous and TGF&beta;-induced ECMs expression. HJC0123 is a promising anti-hepatic fibrogenic agent.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
"ASC20160499","01.10","QuickShot","Depletion of Bacteria Protects from Chemo-Induced Enteritis Independent of Epithelial Signaling","J. Carr<sup>1</sup>, S. King<sup>1</sup>, C. Dekaney<sup>1</sup>  <sup>1</sup>University Of North Carolina At Chapel Hill,Chapel Hill, NC, USA","<strong>Introduction</strong>:  Enteritis is a significant side effect of chemotherapy, and is a potential dose-limiting complication. Pharmacotherapy can diminish symptoms, but there are no effective therapies to prevent or treat the intestinal epithelial injury associated with enteritis, most likely because the mechanisms guiding epithelial damage and repair are unknown. Our preliminary studies suggest that enteric bacteria play a critical role in precipitating mucosal damage after treatment with doxorubicin (Dox), a common chemotherapeutic drug. Following Dox, mice treated with broad-spectrum antibiotics (ABRX) do not show the small intestine crypt loss, increased crypt depth, or alterations in proliferation demonstrated in wild type mice (WT). Bacteria and bacterial products signal via distinct toll like receptors (TLRs), while MyD88 is a key adapter molecule utilized by nearly all TLRs to activate downstream signaling pathways. 'Knocking out' MyD88 in the intestinal epithelial cell (IEC) specifically eliminates IEC bacterial signaling, and therefore allows an evaluation of the role of IEC bacterial signaling in mediating the bacterial contribution to enteritis. In the current study, we utilize this knock out model to determine whether elimination of bacterial IEC signaling is responsible for protection from Dox-induced enteritis.<br><br><strong>Methods</strong>:  At 10 weeks of age, control or IEC-specific MyD88 KO mice (Villin<sup>Cre</sup>/MyD88<sup>fl/fl</sup>) were treated with a single intraperitoneal dose of Dox (20 mg/kg) and euthanized five days following treatment. The jejunum was fixed and stained with H&amp;E for histologic analysis. <br><br><strong>Results</strong>: While ABRX mice demonstrate significantly less weight loss than WT mice five days after Dox, MyD88 KO mice demonstrated weight loss equivalent to WT mice (WT 19.5% &plusmn; 2.4; ABRX 5.1% &plusmn; 4.6; MyD88 KO 17.5% &plusmn; 3.0). ABRX mice demonstrate significantly greater crypt survival than WT mice five days after Dox, and do not demonstrate increased crypt depth typical of WT mice in their hyper-proliferative state after Dox, while MyD88 KO mice demonstrate a phenotype comparable to WT mice (graph). <br><br><strong>Conclusions</strong>: In response to insult with the chemotherapeutic Dox, MyD88 KO mice demonstrate intestinal damage followed by hyper-proliferation similar to WT mice. This suggests that the protection from damage demonstrated in ABRX mice is not due to elimination of epithelial bacterial signaling. Future studies will investigate other potential signaling pathways (e.g. penetration of a compromised epithelial barrier) to elucidate how depletion of bacteria protects from Dox-induced damage. This will allow determination of a prospective molecular target for prevention of chemotherapy-induced enteritis.","Basic Science","Experimental Therapeutics/Other","Cross Disciplinary"
