"control_number","session_number","session_type","abstract_title","author_block","abstract_body","abstract_type","abstract_scientific_area","abstract_clinical_area"
"ASC20220147","01.01","Quickshot","Obesity-Related Hormones and Itaconate in Early-Onset Colon Cancer - a Macrophage Co-Culture Model","C. Fiechter<sup>1, 2</sup>, K. Scheurlen<sup>1</sup>, A. Littlefield<sup>1</sup>, T. Alfieri<sup>1</sup>, S. Galandiuk<sup>1</sup> &nbsp;<sup>1</sup>Price Institute of Surgical Research, Division Of Colorectal Surgery, Hiram C. Polk Jr. Department Of Surgery, University Of Louisville School Of Medicine, Louisville, KY, USA&nbsp;<sup>2</sup>University Of Louisville, School Of Medicine, Louisville, KY, USA","<strong>Introduction</strong>: The incidence of early-onset colorectal cancer (EOCRC) (&lt;50 years of age) has been steadily rising, while the prevalence of obesity is increasing among developed countries. Inflammation is a central pathophysiological mechanism in both CRC and obesity. Tumor-associated macrophages (TAMs) and the obesity-related hormones leptin and adiponectin mediate inflammation and affect tumor progression in CRC. Current evidence shows that anti-inflammatory M2-like TAMs are associated with tumor progression and worse patient prognosis in CRC. The macrophage-specific metabolite itaconate is produced by the enzyme Aconitate Decarboxylase 1 (ACOD1) in certain macrophage subtypes and is carcinogenic. The effects of obesity-related hormones and itaconate on cellular metabolism in CRC, however, are largely unknown. The aim of this study was to investigate inflammatory responses and the role of itaconate in TAMs and colon cancer cells using an in vitro co-culture model.

<br><br><strong>Methods</strong>: THP-1 monocyte cells were seeded into 24-well co-culture plates and polarized into M2-like macrophages within 14 days. Cells were then co-cultured with HT-29 colon adenocarcinoma cells and treated with either leptin, adiponectin, 4-octyl itaconate (OI) or dimethyl itaconate (DI) for 3 and 6 hours. Gene expression was analyzed using TaqMan qRT-PCR. Statistical analysis was performed using a Student&rsquo;s t-test.

<br><br><strong>Results</strong>: In M2-like macrophages, proinflammatory IL-1&beta; expression was significantly upregulated following adiponectin (30-fold, p=0.014) and leptin treatment (6-fold, p=0.026) for 6 hours (Fig. 1A). Expression of ACOD1 in M2-like macrophages was upregulated with adiponectin treatment (50-fold, p=0.002) for 6 hours (Fig. 1B). In HT-29 cells, OI treatment resulted in decreased expression of the proinflammatory cytokine CXCL10 at 3 hours (-5 fold-regulation, p=0.045) (Fig. 1C).

<br><br><strong>Conclusion</strong>: Adiponectin and leptin treatment results in a proinflammatory cellular response in TAMs, while the production of the carcinogenic and anti-inflammatory metabolite itaconate is induced. Therefore, the obesity-related hormones leptin and adiponectin activate tumor promoting mechanisms in CRC. Furthermore, the itaconate derivative OI decreases proinflammatory CXCL10 expression in colon cancer cells, thereby likely enhancing mechanisms of tumor growth and metastasis. In summary, the effects of adiponectin and leptin on M2-like TAM metabolism and cytokine expression in colon cancer may provide a link between obesity, inflammation and EOCRC.","Basic Science","Immunology/Immunotherapy","Colorectal"
"ASC20220154","01.02","Quickshot","Metabolic Dysfunction and the Macrophage-Metabolite Itaconate in Early-Onset Colon Cancer","C. N. Cook<sup>1, 2</sup>, K. Scheurlen<sup>1</sup>, J. George<sup>1</sup>, A. Swearingen<sup>1</sup>, S. Galandiuk<sup>1</sup> &nbsp;<sup>1</sup>Price Institute of Surgical Research, Division Of Colorectal Surgery, LOUISVILLE, KY, USA&nbsp;<sup>2</sup>University Of Louisville, School Of Medicine, Louisville, KY, USA","<strong>Introduction</strong>: 

The incidence of early-onset colorectal cancer (EOCRC), diagnosed before the age of 50, has steadily increased during the last two decades, and approximately 80% of these cancers are sporadic. Obesity is also on the rise within the United States, and a possible link between metabolic dysfunction, inflammation and EOCRC has been suggested.

Within the tumor microenvironment, tumor-associated macrophages (TAMs) are able to regulate inflammation and to produce the anti-inflammatory carcinogenic macrophage-metabolite itaconate. While anti-inflammatory mechanisms and low peroxisome proliferator-activated receptor &gamma; (PPAR&gamma;) expression in CRC are associated with advanced tumor stage and progression, the effects of itaconate on cellular metabolism and cancer progression are largely unknown. The aim of this study was to investigate carcinogenic cytokine expression and PPAR&gamma; levels in response to treatment with the macrophage-metabolite itaconate in human colon cancer cells.

<br><br><strong>Methods</strong>: 

HT29 colon adenocarcinoma cells were plated into 24-well plates and rested for 24 hours. Cells were treated with the itaconate derivatives dimethyl itaconate (DI) or 4-octyl itaconate (OI) over four different incubation periods. Cellular mRNA was harvested, and qRT-PCR was performed, comparing cytokine and transcription factor gene expression in treated cells with untreated control cells resting in cell medium only. Statistical significance was evaluated using a paired t-test and results p&lt;0.05 are displayed.


<br><br><strong>Results</strong>:

Dl downregulated expression of the proinflammatory cytokine IL-1&beta; at 18 hours (-12-fold p=0.007) (Fig.1A). Proinflammatory CXCL10 was downregulated following DI treatment as well at 6 hours (- 3-fold p=&lt;0.001),18 hours (-10-fold p=0.001) and 24 hours (-7-fold p=0.011) (Fig. 1B), respectively, which can promote tumor development. OI downregulated the transcription factor PPAR&gamma; in HT-29 colon cancer cells significantly after 6 hours (- 4-fold p=0.009), 18 hours (-4-fold p=0.004) and 24 hours (-8-fold p=&lt;0.001) (Fig. 1C) of treatment, which is an expression pattern associated with worse outcome in CRC.

<br><br><strong>Conclusion</strong>:

Both itaconate derivatives, DI and OI, induce anti-inflammatory and carcinogenic effects in human colon cancer cells. While DI shifts cytokine expression in colon cancer cells towards a more anti-inflammatory profile, OI directly affects expression of a prognostically relevant transcription factor in CRC. We believe that TAMs mediate cancer-promoting mechanisms through an anti-inflammatory environment and PPAR&gamma; downregulation through itaconate in human colon cancer. Macrophage metabolism and itaconate production may link metabolic dysfunction and tumor development in patients with EOCRC.
","Basic Science","Immunology/Immunotherapy","Colorectal"
"ASC20220161","01.03","Quickshot","Adiponectin Induces Carcinogenic Macrophage Cytokine Expression - A Link to Early-Onset Colon Cancer","M. A. Parks<sup>1, 2</sup>, K. Scheurlen<sup>1</sup>, D. Snook<sup>1</sup>, C. Seraphine<sup>1</sup>, S. Galandiuk<sup>1</sup> &nbsp;<sup>1</sup>Price Institute of Surgical Research, Division Of Colorectal Surgery, Louisville, KENTUCKY, USA&nbsp;<sup>2</sup>University of Louisville, School Of Medicine, Louisville, KENTUCKY, USA","<strong>Introduction</strong>: Early onset colorectal cancer (EOCRC)(&lt;50 years) is a growing cause of cancer-related deaths in the United States. Similarly, obesity rates continue to trend up. CRC progression is affected by inflammation mediated through tumor-associated macrophages (TAMs) of a largely anti-inflammatory M2-like phenotype, that is associated with worse CRC prognosis.

The impact of the adipokine adiponectin on M2-like macrophages and progression in CRC is poorly understood. Anti-inflammatory cytokine expression, downregulation of the transcription factor Peroxisome Proliferator Activated Receptor g (PPAR&gamma;) and upregulation of Nuclear factor-&kappa;B (NF-&kappa;B) are associated with advanced tumor stage and worse outcome in patients with CRC. The aim was to investigate the effects of adiponectin on tumor-promoting cytokines, transcription factors, and cell surface markers following adiponectin treatment in M2-like macrophages.



<br><br><strong>Methods</strong>: THP-1 cells were seeded onto culture plates and polarized into a distinct M2-like macrophage phenotype within 14 days. Cells were then treated with adiponectin for either 3, 6, 18, or 24 hours. mRNA was extracted and qRT-PCR was performed. Cytokine gene expression was measured relative to untreated control cells. For statistical analysis, paired t-tests were used.


<br><br><strong>Results</strong>: Following adiponectin treatment, M2-like macrophages showed a peak upregulation of the anti-inflammatory tumor-promoting cytokines C-C Motif Chemokine Ligand 22 (CCL22) after 24 hours (42-fold, p=0.002) and interleukin-8 (IL-8) after 18 hours (683-fold, p=&lt;0.001), while IL-10 expression was maximally downregulated after 24 hours (- 9-fold, p=&lt;0.001) (Fig. 1B). Peak upregulation of the tumor-promoting proinflammatory cytokines IL-6 (1130-fold, p=0.001) and IL-1b (485-fold, p=&lt;0.001) was reached after 6 hours of adiponectin treatment, respectively (Fig. 1A). Expression of the M1-like macrophage surface marker CD80 was maximally increased after 6 hours (52-fold, p=0.003), while expression of the M2-like marker CD206 showed the lowest decrease at 24 hours (- 30-fold, p=&lt;0.001) (Fig. 1C). NF-&kappa;B expression was increased at all time points with a peak at 6 hours (20-fold, p=&lt;0.001) (Fig. 1D). We observed no significant change in expression of PPAR&gamma; or anti-inflammatory CCL18.


<br><br><strong>Conclusion</strong>: Adiponectin promotes expression of cancer-related cytokines and NF-&kappa;B in M2-like macrophages, thereby triggering cancer progression in CRC. Upregulation of the M1-like cell surface marker CD80 following adiponectin treatment shows that a phenotypic change of macrophages towards an M1-like proinflammatory phenotype is induced. Adiponectin may be an important a link between obesity, inflammation and EOCRC.
 
","Basic Science","Immunology/Immunotherapy","Colorectal"
"ASC20220494","01.07","Quickshot","Coexisting Familial Adenomatous Polyposis and Crohn's Disease: Cause and Effect or Coincidence?","K. D. Feagins<sup>1</sup>, S. O'Brien<sup>1</sup>, T. Kalbfleisch<sup>2</sup>, H. C. Polk<sup>1</sup>, S. Galandiuk<sup>1</sup> &nbsp;<sup>1</sup>University Of Louisville, Price Institute Of Surgical Research, Louisville, KY, USA&nbsp;<sup>2</sup>University Of Kentucky, Gluck Equine Research Center, Lexington, KY, USA","<strong>Introduction</strong>: Familial adenomatous polyposis (FAP) is an autosomal dominant syndrome defined by APC gene mutations with numerous colonic adenomas developing early in life. Cancer risk is nearly 100% for FAP patients without intervention. The APC gene on chromosome 5q22 encodes a protein regulating Wnt signaling, ultimately functioning as a tumor suppressor.

Conversely, Crohn&rsquo;s disease (CD) an inflammatory bowel disease with mechanisms not completely defined, is characterized by chronic inflammation and/or fibrostenotic strictures within the gastrointestinal tract. CD etiology is multifactorial; many genetic loci have been associated with CD and some (IBD5) are also on chromosome 5q.

We have identified a unique group of individuals with both disorders and hypothesize that there is an association between FAP and CD given the geographic proximity of IBD5 and APC on Chromosome 5.

We aim to:

1)assess the prevalence of previously identified cases of coexisting FAP and CD in the literature.

2)perform next generation sequencing (NGS) in dually diagnosed patients.

<br><br><strong>Methods</strong>: 1)We conducted a systematic review using the Preferred Reporting Items for Systematic Reviews (PRISMA). The PubMed, Embase, Ovid and Web of Science databases, dates from January 1950 to July 2020 were searched. A Google Scholar search was also performed. A search of grey literature was performed including Digestive Disease Week archives from 1974-2020. Relevant datapoints were extracted for descriptive analysis.

2)Whole blood was obtained from 8 patients with both FAP &amp; CD after obtaining informed consent. NGS was performed, reads produced were mapped to the human reference genome build 38 at an average depth of coverage of 20X with paired end 150 base read length.

<br><br><strong>Results</strong>: Initial search yielded 1,214 articles. Inclusion criteria included full-text articles presenting coexisting/sequential cases of both FAP and CD. After titles and abstract screening, 1,120 articles were excluded with 94 selected for full text assessment; 12 were selected for systematic review, each describing patients with FAP and CD.

In our institution, we identified 4 cases of FAP associated with CD. NGS analysis showed each of these patients who are phenotypically similar to share the same genetic mutation; an 11 KB deletion in promoter 1B of the APC gene.

<br><br><strong>Conclusion</strong>: A systematic literature review yielded an additional 8 cases phenotypically similar to ours. Some articles include a comprehensive description of genetic data with little phenotypic detail. Conversely, other articles are clinical reports, without a genetic analysis. We have confirmed an 11KB APC promoter deletion in individuals with coexisting FAP and Crohn&rsquo;s disease. Due to the infrequency of this mutation, and the co-occurrence of these conditions, further study may provide additional information regarding the etiology of Crohn&rsquo;s disease in these patients.
","Basic Science","Genetics","Colorectal"
"ASC20221179","01.10","Quickshot","ST6Gal-1 Mediates Resistance via Apoptosis and Increases After Treatment in Rectal Cancer Organoids","M. G. Smithson<sup>1</sup>, R. Irwin<sup>1</sup>, G. Williams<sup>1</sup>, M. C. McLeod<sup>1</sup>, S. Bellis<sup>2</sup>, K. Hardiman<sup>1</sup> &nbsp;<sup>1</sup>University Of Alabama at Birmingham, Surgery, Birmingham, Alabama, USA&nbsp;<sup>2</sup>University Of Alabama at Birmingham, Cell, Development, And Integrative Biology, Birmingham, Alabama, USA","<strong>Introduction</strong>: Rectal cancer affects more than 44,000 patients annually. Traditionally, rectal cancer is treated with chemotherapy, radiation, followed by surgery but response to this treatment is variable. ST6Gal-1 is an enzyme that adds sialic acid (SA) to cell surface proteins and can modify function. Our previous studies have shown that ST6Gal-1 mediates resistance in rectal cancer cell lines, although the mechanism is poorly understood. We hypothesized that ST6Gal-1 increases following chemoradiation in primary rectal cancer organoids similar to what we have found in cell lines and that the mechanism of resistance is via decreased apoptosis. 

<br><br><strong>Methods</strong>: We assessed ST6Gal-1 in treated rectal cancer organoids made from patient tumor biopsies using fluorescent staining and PCR. SW620 cells were transduced with lentivirus containing shST6Gal-1 to knockdown the mRNA (KD) or an shRNA control vector (CV). Flow cytometry was used to assess Annexin V as a measure of apoptosis. SNA is a lectin which recognizes sialic acid placed on proteins by ST6Gal-1. An SNA Lectin pulldown was performed, and western blotting was used to assess for TNFR1 antibody.

<br><br><strong>Results</strong>: We treated primary rectal cancer with chemoradiation and assessed for ST6GaL-1. We found that ST6Gal-1 protein increased via immunofluorescent staining and PCR revealed a 3-fold increase in ST6Gal-1 mRNA on day 5 (N=3, p=0.007). To further explore mechanism, flow cytometry was performed in SW 620 rectal cancer cells following chemoradiation and identified 33.3% apoptotic cells in the KD group compared to 18.66% in CV cells containing ST6Gal-1. TNFR1, which has previously been shown to be sialylated, was also explored as a potential target. Cells underwent SNA lectin pulldown to collect sialylated proteins and found sialylated TNFR1 increased 2.91-fold in treated CV samples compared to untreated but this difference was not seen in KD samples.

<br><br><strong>Conclusion</strong>:
We have shown that ST6Gal-1 is increased in cell lines and rectal cancer organoids after chemoradiation, and that apoptosis is likely one mechanism mediating this resistance via TNFR1 sialylation.
 
","Basic Science","Cellular and Molecular Biology","Colorectal"
"ASC20220480","02.01","Quickshot","The Role of Endogenously Expressed IL-10 in Wound Closure and Tissue Repair","B. W. Padon<sup>1, 2</sup>, T. J. Prajapati<sup>1, 2</sup>, F. M. Faruk<sup>1, 2</sup>, W. D. Short<sup>1, 2</sup>, O. Olutoye<sup>1, 2</sup>, H. Li<sup>1, 2</sup>, M. Rae<sup>1</sup>, T. Lu<sup>1</sup>, S. G. Keswani<sup>1, 2</sup>, S. Balaji<sup>1, 2</sup> &nbsp;<sup>1</sup>Baylor College of Medicine, Pediatric General Surgery, Houston, TX, USA&nbsp;<sup>2</sup>Texas Children's Hospital, Pediatric General Surgery, Houston, TX, USA","<strong>Introduction</strong>: 

Our lab has shown a significant role for IL-10 overexpression in regulating inflammation and extracellular matrix (ECM) production, thereby attenuating fibrosis in skin wounds. However, the role of IL-10 in wound closure is unclear, as previous studies in murine wounds, not controlled for contraction and moist wound environment, have shown increased rates of wound closure in IL-10-/- mice. The objective of this study is to determine the role of endogenous IL-10 on wound closure when controlling for contraction and a moist wound environment.

<br><br><strong>Methods</strong>: 

Full thickness 6mm wounds were made in C57B6/J WT and IL-10-/- mice and controlled for contraction using a silicone stent. A moist wound environment was provided by Tegaderm dressing. Wounds were serially photographed at 3, 5 and 7d, harvested at 7d and 30d post wounding, then examined for epithelial gap, granulation tissue, scar area(H&amp;E), myofibroblasts(aSMA), and leukocyte(CD45) and macrophage content(F4/80). Data is mean+-SD, n=8-10 wounds/group/time; p-value by ANOVA.

<br><br><strong>Results</strong>:

In contrast to prior reports, unstented IL-10-/- wounds maintained in a moist wound environment showed no significant difference in epithelial gap at d7, but had an increase in granulation tissue (IL-10-/- 1.4+-0.6 vs WT 0.8+-0.4 mm<sup>2</sup>, p&lt;0.01) compared to WT. Unstented IL-10-/- wounds exhibited a heightened inflammatory response, with an elevated % of CD45+ (IL-10-/- 28.9%+-14.1 vs WT 6.0+-2.7, p&lt;.01) and F4/80+ (IL-10-/- 53.7%+-1.2 vs WT 28.3+-0.5, p&lt;.01) cells/high power field(HPF). Upon stenting the wounds, no difference in epithelial gap and granulation tissue was seen. The increase in % of F4/80+ cells/HPF (IL-10-/- 21.3%+-3.6 vs WT 22.4+-5.4, p&lt;.05) persisted in stented wounds. There was a marked increase in the % of CD45+ cells/HPF (IL-10-/-22.4%+-1.5 vs WT 13.6%+-1.7, p=ns) as well. aSMA showed abundant expression at the wound margins in all wounds, but stented wounds had more aSMA present in the granulation tissue compared to unstented wounds. IL-10-/- wounds had more aSMA staining in the wound bed than WT. However, analysis of the % of aSMA + cells/HPF showed no significant difference in the stented and unstented wounds. At d30, wounds in IL-10-/- mice had significantly larger scar area as compared WT in stented (IL-10-/- 0.24+-0.02 vs WT 0.17+-0.06 mm<sup>2</sup>, p&lt;.05) and unstented (IL-10-/- 0.18+-0.01 vs WT 0.13+-0.03 mm<sup>2</sup>, p&lt;.05) groups.

<br><br><strong>Conclusion</strong>:

Our data showed endogenous IL-10 does not delay normal healing of skin wounds when controlled for contraction and moist environment. However, the loss of IL-10 leads to increased inflammation and fibrosis. This data signifies a previously unrecognized role for endogenously expressed IL-10 contributing to the tissue repair response.
","Basic Science","Cellular and Molecular Biology","General Surgery"
"ASC20220557","02.02","Quickshot","Low-Cost Gastroschisis Silo for Sub-Saharan Africa: Testing the safety profile in a porcine model","A. Biswas<sup>1</sup>, H. J. Leraas<sup>2</sup>, S. Zadey<sup>2</sup>, P. Wilson<sup>3</sup>, B. Theriot<sup>4</sup>, N. Surana<sup>4</sup>, R. Ssekitoleko<sup>5</sup>, J. Mugaga<sup>5</sup>, C. Salzman<sup>1</sup>, A. Hall<sup>6</sup>, A. Saterbak<sup>1</sup>, T. Fitzgerald<sup>2</sup> &nbsp;<sup>1</sup>Duke University, Biomedical Engineering, Durham, NC, USA&nbsp;<sup>2</sup>Duke University, Surgery, Durham, NC, USA&nbsp;<sup>3</sup>Duke University, Mechanical Engineering, Durham, NC, USA&nbsp;<sup>4</sup>Duke University, Pediatrics, Durham, NC, USA&nbsp;<sup>5</sup>Makerere University, Health Sciences, Kampala, Uganda&nbsp;<sup>6</sup>Duke University, Pathology, Durham, NC, USA","<strong>Introduction</strong>: Gastroschisis mortality in sub-Saharan Africa remains high at 59-100%. Silo inaccessibility contributes to this extreme disparity, as standard of care (SOC) silos cost $280, and most median family incomes in sub-Saharan Africa are &lt;$200 per month. Our team of surgeons, engineers, and neonatologists from the U.S. and Uganda have previously described design and bench-testing of a low-cost (LC) silo that costs &lt;$5 and is constructed from a urine collection bag and female condom ring, which are locally available in sub-Saharan Africa. Here we describe in vivo testing of the LC silos.

<br><br><strong>Methods</strong>: A piglet model of gastroschisis was achieved by eviscerating the intestines through a 2cm midline abdominal wall incision. The bowel was placed into either a LC or SOC silo, maintained for one hour and then reduced. Procedure times for placement, intestinal reduction and silo removal were recorded. Tissue injury was assessed by protocol-blinded histological examination of the abdominal wall and intestine. Quantitative assessment of bacterial and fungal growth on the silos were performed using standard culture techniques. Data were analyzed using the Mann-Whitney test (alpha=0.05).

<br><br><strong>Results</strong>: Six piglets (2.0-2.6 Kg) were block randomized to LC (n=3) or SOC (n=3) silo application. There was no visible gross injury to abdominal wall or intestine specimens in either the LC or SOC silos. Concurrently, there was no difference in minor bleeding (bruising) between the LC and SOC silos (Table 1). The differences in silo application times (LC 42 &plusmn; 48 seconds; SOC 47 &plusmn; 18 seconds; p=1.0), bowel reduction times (LC 6 &plusmn; 3.5 seconds, SOC 1 &plusmn; 2 seconds; p=0.40) and silo removal times (LC 2 &plusmn; 0.5 seconds, SOC 3 &plusmn; 1.5 second; p=0.40) between groups were not statistically or clinically significant, indicating similar ease of use. Microbiology analysis revealed bacterial growth on all samples, but the bacterial density was below the standard inoculum in vitro acceptability of 10<sup>5</sup> CFU/g for both the LC and SOC silos (Fig 1). There was no statistically significant difference in bacterial or fungal growth between the LC and SOC silos (anaerobic p=0.34; aerobic p=0.06; fungal p=0.80).

<br><br><strong>Conclusion</strong>: A low-cost silo, designed for manufacturing and clinical use in sub-Saharan Africa, demonstrated similar ease of use, absence of tissue injury, and acceptable microbiology profile similar to SOC silos. Data from this porcine model will allow our team to proceed with a pilot clinical study in Uganda.","Basic Science","Preclinical Surgical Innovations","Global Surgery"
"ASC20220922","02.06","Quickshot","Operation Theatre Utilization Efficiency At Tikur Anbessa Specialized Hospital, Ethiopia","S. A. Negash<sup>1</sup>, T. N. Mammo<sup>1</sup>, B. Ayele<sup>5</sup>, E. Anberber<sup>1</sup>, N. Starr<sup>4</sup>, T. G. Weiser<sup>2, 3</sup> &nbsp;<sup>1</sup>Addis Ababa University, Surgery, Addis Ababa, ADDIS ABABA, Ethiopia&nbsp;<sup>2</sup>University of Edinburgh, Surgery, Edinburgh, SCOTLAND, United Kingdom&nbsp;<sup>3</sup>Stanford University, Surgery, Palo Alto, CA, USA&nbsp;<sup>4</sup>University Of California - San Francisco, Surgery, San Francisco, CA, USA&nbsp;<sup>5</sup>Addis Ababa University, Anesthesia, Addis Ababa, ADDIS ABABA, Ethiopia","<strong>Introduction</strong>: The operating theatre is one of the most expensive areas of a hospital, requiring large capital and recurring investments, and necessitating efficient throughput to reduce costs per patient encounter. On top of increasing costs, inefficient utilization of operating theaters results in prolonged waiting lists, high rate of cancellation, frustration of OT personnel as well as increased anxiety that negatively impacts the health of patients. This problem is magnified in developing countries, where there is a high unmet surgical need. However, no system currently exists to assess operating theatre utilization in Ethiopia.

<br><br><strong>Methods</strong>: A prospective study was conducted over a period of 2 months (May-June 2018) at our hospital. It is the largest hospital in the country and has the highest number of operating theaters. Surgical case start time, end time, room turnover time, cancellations and reason for cancellation were observed to evaluate the efficiency of eight operating theaters.

 <br><br><strong>Results</strong>: A total of 933 elective procedures were scheduled during the study period. Of these, 246 were cancelled, yielding a cancellation rate of 35.8%. The most common reasons for cancellation were related to patient preparation (29.2%) and shortage of time (32.1%). Lack of facilities accounted for 29.3% of cancellations. Start time was delayed in 93.4% of cases (mean 8:56 am + 52 min). First case completion time was early in 47.9 % and delayed in 20.6% (mean 2:54pm + 156min). Turnover time was prolonged in 34.5% (mean 25 min + 49 min). Total operating theater utilization ranged from 10.5% to 174%. Operating theaters were underutilized in 42.7% while overutilization was found in 14.6%. 

<br><br><strong>Conclusion</strong>: We found a high cancellation rate, most of which are avoidable. The most common reason was shortage of time which could be associated with overbooking or inappropriate use of time due to other delays. Turnover time was longer than average, however, intervention in this area would likely not make an impact on efficiency as number of procedures per OT each day is low. Other measured causes of poor efficiency included late start of the first case and variable (very early or late) end of the last case. We recommend future quality improvement projects focusing on these two areas to increase OT efficiency. 
","Basic Science","Other","Global Surgery"
"ASC20221214","02.09","Quickshot","Inhibition of &alpha;-SMA to improve outcomes in volumetric muscle loss injuries: an in silico study ","B. Price<sup>1</sup>, G. An<sup>1</sup>, C. Cockrell<sup>1</sup> &nbsp;<sup>1</sup>University Of Vermont College Of Medicine / Fletcher Allen Health Care, Surgery, Burlington, VT, USA","<strong>Introduction</strong>: The natural history of volumetric muscle loss (VML), such as wounds of the type suffered from significant blast-injury, is healing via scar formation. The functional recovery of patients with VML would be greatly enhanced if the VML could be replaced with functional muscle instead of scar. We have performed simulation experiments with an agent-based model of VML that have suggested a crucial tipping point in terms of scar formation versus muscle regrowth that is heavily influenced by the differentiation of fibroblasts to myofibroblasts. A review of the literature suggested an important role for &alpha;-smooth muscle actin (&alpha;-SMA) in the transformation of fibroblasts into myofibroblasts, and this prompted an in silico examination of the effect of inhibition of &alpha;-SMA accumulation on the ability to increase the muscle composition of a VML.

<br><br><strong>Methods</strong>: We have developed a mechanism-based agent-based model (ABM) to simulate the temporal evolution of a volumetric muscle loss (VML). Cells represented in the ABM include satellite stem cells, myoblasts, fibroblasts, and immune cell subtypes. Machine-learning techniques are used to develop a set of model parameterizations which encompass the biological heterogeneity seen clinically. Simulation experiments were performed that used Deep Reinforcement Learning (DRL) to incorporate the effects of inhibiting &alpha;-SMA accumulation along with other immunomodulatory controls to steer the system to maximize muscle in the healed wound.

<br><br><strong>Results</strong>: The DRL algorithm discovered treatment policies which increased the amount of functional muscle regenerated from 2% (in the untreated case) to 80% (when AI-controlled). The discovered therapeutic policy was complex, but upon examination, two primary objectives could be inferred: 1) control of inflammation such that muscle regeneration is not impaired, and 2) sufficient interruption of the differentiation of fibroblasts into myofibroblasts by inhibition of &alpha;-SMA accumulation, thus interrupting the conversion of granulation tissue to fibrotic scar.

<br><br><strong>Conclusion</strong>: In this work, we provide an in silico proof-of-concept study that demonstrates the importance of appropriate suppression of myofibroblast transformation in order to increase final wound muscle composition, and the need for a multi-modal intervention policy to accomplish this goal. These findings are a further demonstration of the utility of an integrated workflow that uses high-fidelity mechanism-based simulation with advanced machine learning and artificial intelligence to discover potential control strategies for complex pathophysiological processes.

 
","Basic Science","Precision Medicine/Biomarkers","General Surgery"
"ASC20221357","02.10","Quickshot","Engineering Antioxidant and Oxygen-Releasing Lignin Composites to Accelerate Wound Healing","T. J. Prajapati<sup>1</sup>, A. Kaul<sup>1</sup>, B. W. Padon<sup>1, 3</sup>, F. Faruk<sup>1, 3</sup>, W. D. Short<sup>1, 3</sup>, O. Olutoye<sup>1, 3</sup>, L. Yu<sup>1, 3</sup>, H. Li<sup>1, 3</sup>, O. Jung<sup>2</sup>, S. Jimenez<sup>2</sup>, J. Jung<sup>2</sup>, S. Balaji<sup>1, 3</sup> &nbsp;<sup>1</sup>Baylor College Of Medicine, Pediatric General Surgery, Houston, TX, USA&nbsp;<sup>2</sup>Louisiana State University, Biological Engineering, Baton Rouge, LA, USA&nbsp;<sup>3</sup>Texas Children's Hospital, Pediatric General Surgery, Houston, TX, USA","<strong>Introduction</strong>: 

Impaired wound healing and scar formation have far-reaching socioeconomic effects. Excessive reactive oxygen species (ROS) cause oxidative stress in the wounds and delay healing by hampering vascularization and promoting inflammatory macrophage and myofibroblast differentiation resulting in increased inflammation and scarring. Engineered biomaterials capable of scavenging ROS and facilitating controlled release of oxygen can circumvent the challenge of oxygen diffusion in situ to promote cell infiltration and survival, which is not achieved with current biomaterials. We hypothesize that the application of novel lignin (an antioxidant from lignocellulose)-based composites with ROS-scavenging and oxygen-releasing properties will enhance neovascularization and attenuate inflammation to promote wound healing.

<br><br><strong>Methods</strong>: 

We photo-crosslinked thiolated lignosulfonate (TLS) in methacrylated gelatin (GelMA) via thiol-ene chemoselective ligation. We developed calcium peroxide (CPO)-incorporated lignosulfonate/poly(lactic-co-glycolic acid) microparticles, where the dissociation of CPO into oxygen is facilitated by lignosulfonate, and added CPO particles to the GelMA-TLS composites and tested its antioxidant capacity (DPPH assay) and oxygen release (pseudo 1<sup>st</sup> order model). Full thickness 6mm wounds were made in C57BL/6N mice using silicone stents to control for contraction and divided into 4 groups: Untreated (UNTX), GelMA-TLS (TLS), GelMA-TLS with carriers but no oxygen release capacity (CPOc), and GelMA-TLS with carriers+oxygen release (CPO). Wounds were harvested at 7d and examined for epithelial gap, granulation tissue (H&amp;E), myofibroblasts (&alpha;SMA), endothelial cells and vessels (CD31), and macrophages (CD206). Data presented as mean+-SD, n=3-6 wounds/group; p-value by ANOVA.

<br><br><strong>Results</strong>:

Morphometric wound analysis showed small differences in epithelial gap; however, treated wounds had greater granulating tissue area with marked increase in CPO (UNTX 1.9+-0.9 mm<sup>2</sup> vs TLS 1.9+-0.8 vs CPOc 1.7+-0.4 vs CPO 1.5+-0.4, p&lt;0.05). Notably, the CPO matrix was completely infiltrated and fully integrated with a granulating wound bed, unlike other groups which showed areas of non-infiltrated gel. CPO wounds had greater concentrations of &alpha;SMA in the middle of wound beds (UNTX 16.6+-8.7 % vs TLS 10.5+-8.7 vs CPOc 8.8+-2.4 vs CPO 17.5+-9.7, p=ns). Both CPOc and CPO wounds had greater vessel density (UNTX 14.0+4.7 lumens/40x field vs TLS 18.9+-3.9 vs CPOc 27.9+-7.2 vs CPO 25.2+-7.6, p&lt;0.05). The CPOc and CPO wounds had fewer macrophages (UNTX 32.7+-12.4 % cells/40 field vs TLS 24.9+-14.3 vs CPOc 14.6+-4.4 vs CPO 19.3+-5.5, p&lt;0.05).

<br><br><strong>Conclusion</strong>:

Our data demonstrates that the synergistic antioxidation and oxygen production capacity of lignin composites improved wound healing associated with reduced inflammation and enhanced neovascularization, representing new potential therapeutics for attenuating fibrosis and improving wound healing with engineered biomaterials.

 
","Basic Science","Developmental Biology/Tissue Engineering","General Surgery"
